epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,5401.87,0.7321,0.47204,0.96262,0.93585,0.92657,0.93716,0.65903,1.02549,0.43161,1.08156,0.00028475,0.00028475,0.00028475
80,5469.71,0.71718,0.46486,0.95328,0.93555,0.92728,0.93753,0.65978,1.02743,0.43034,1.08675,0.000272375,0.000272375,0.000272375
81,5538.63,0.72083,0.46431,0.95528,0.93518,0.92294,0.94104,0.66193,1.03424,0.44066,1.09155,0.00026,0.00026,0.00026
82,5605.72,0.7176,0.46972,0.95361,0.93773,0.92187,0.93883,0.66644,1.01749,0.43397,1.08195,0.000247625,0.000247625,0.000247625
83,5674.92,0.72042,0.46795,0.95476,0.9437,0.91418,0.94079,0.66628,1.02066,0.43193,1.08245,0.00023525,0.00023525,0.00023525
84,5742.73,0.72336,0.46683,0.95796,0.93416,0.92639,0.9408,0.66684,1.01051,0.43055,1.07182,0.000222875,0.000222875,0.000222875
85,5813.54,0.7059,0.46031,0.95105,0.93676,0.9195,0.9418,0.66513,1.02216,0.4295,1.08266,0.0002105,0.0002105,0.0002105
86,5882.66,0.7193,0.47079,0.95809,0.93474,0.92771,0.94321,0.6654,1.02182,0.42556,1.08665,0.000198125,0.000198125,0.000198125
87,5953.74,0.69746,0.45561,0.94589,0.93556,0.92637,0.94196,0.67043,0.99953,0.42289,1.07392,0.00018575,0.00018575,0.00018575
88,6022.58,0.70534,0.45486,0.94963,0.93128,0.93236,0.93935,0.67295,0.99676,0.41699,1.07316,0.000173375,0.000173375,0.000173375
89,6093.84,0.70237,0.45322,0.9472,0.93307,0.92791,0.9427,0.66939,1.00613,0.42276,1.07832,0.000161,0.000161,0.000161
90,6161.62,0.70242,0.45488,0.94646,0.93474,0.92735,0.94337,0.66972,1.00467,0.42159,1.07781,0.000148625,0.000148625,0.000148625
91,6230.25,0.65144,0.39173,0.92417,0.9332,0.92938,0.94234,0.66328,1.02871,0.42992,1.09351,0.00013625,0.00013625,0.00013625
92,6294.27,0.64398,0.386,0.91781,0.93455,0.92568,0.93996,0.66868,1.00798,0.42716,1.0796,0.000123875,0.000123875,0.000123875
93,6357.64,0.63909,0.38435,0.92133,0.93785,0.92574,0.94382,0.67163,1.00554,0.42195,1.08005,0.0001115,0.0001115,0.0001115
94,6421.03,0.63378,0.37948,0.91601,0.93847,0.92158,0.93894,0.6662,1.00886,0.42281,1.0823,9.9125e-05,9.9125e-05,9.9125e-05
95,6484.11,0.62567,0.3788,0.91195,0.93514,0.92566,0.93964,0.66802,1.00825,0.42258,1.08262,8.675e-05,8.675e-05,8.675e-05
96,6547.32,0.6253,0.3788,0.91596,0.93406,0.92399,0.93967,0.67296,0.99743,0.41882,1.07645,7.4375e-05,7.4375e-05,7.4375e-05
97,6611.56,0.62843,0.37483,0.91906,0.93652,0.92262,0.93975,0.67146,0.99808,0.4216,1.07899,6.2e-05,6.2e-05,6.2e-05
98,6675.42,0.61898,0.37041,0.91088,0.93383,0.92705,0.93794,0.6679,1.00832,0.42196,1.08712,4.9625e-05,4.9625e-05,4.9625e-05
99,6739.66,0.6107,0.36892,0.91092,0.9342,0.92506,0.93813,0.67112,0.99712,0.42194,1.08206,3.725e-05,3.725e-05,3.725e-05
100,6803.52,0.62006,0.37268,0.91365,0.93294,0.92519,0.93787,0.66869,1.00594,0.42348,1.0875,2.4875e-05,2.4875e-05,2.4875e-05
